outcome,component,mean,se,ci_lo,ci_hi,p_positive,n_clusters
fit_score_1_7,retrieval|generic_expr,-0.7,0.2258,-1.1333,-0.25,0.0005,60
fit_score_1_7,retrieval|history_expr,-0.75,0.1912,-1.1333,-0.3833,0.0,60
fit_score_1_7,expression|generic_ret,-0.0333,0.0735,-0.1667,0.1167,0.295,60
fit_score_1_7,expression|history_ret,-0.0833,0.0814,-0.25,0.0833,0.1325,60
fit_score_1_7,interaction_DID,-0.05,0.1135,-0.2667,0.1667,0.308,60
purchase_probability_0_100,retrieval|generic_expr,-13.8,2.7779,-19.25,-8.55,0.0,60
purchase_probability_0_100,retrieval|history_expr,-14.2,2.6256,-19.55,-9.1667,0.0,60
purchase_probability_0_100,expression|generic_ret,-0.0167,0.9441,-1.7833,1.9167,0.4945,60
purchase_probability_0_100,expression|history_ret,-0.4167,1.1233,-2.6338,1.7833,0.3555,60
purchase_probability_0_100,interaction_DID,-0.4,1.3467,-3.0667,2.1671,0.388,60
expected_satisfaction_0_100,retrieval|generic_expr,-7.4833,2.6603,-12.6167,-2.1829,0.003,60
expected_satisfaction_0_100,retrieval|history_expr,-6.3167,2.5888,-11.3171,-1.0833,0.0075,60
expected_satisfaction_0_100,expression|generic_ret,0.15,0.7322,-1.2667,1.6837,0.5955,60
expected_satisfaction_0_100,expression|history_ret,1.3167,0.9111,-0.4171,3.2,0.93,60
expected_satisfaction_0_100,interaction_DID,1.1667,1.1666,-1.0842,3.4,0.833,60
trust_score_1_7,retrieval|generic_expr,-0.1167,0.1848,-0.4667,0.2504,0.2355,60
trust_score_1_7,retrieval|history_expr,-0.4833,0.162,-0.8,-0.1667,0.001,60
trust_score_1_7,expression|generic_ret,0.5833,0.1238,0.35,0.8333,1.0,60
trust_score_1_7,expression|history_ret,0.2167,0.1133,-0.0167,0.4337,0.9625,60
trust_score_1_7,interaction_DID,-0.3667,0.1443,-0.65,-0.0833,0.002,60
clarity_score_1_7,retrieval|generic_expr,-0.1167,0.1061,-0.3333,0.0833,0.1035,60
clarity_score_1_7,retrieval|history_expr,-0.1333,0.0764,-0.2833,0.0167,0.029,60
clarity_score_1_7,expression|generic_ret,0.0667,0.0663,-0.05,0.2,0.8055,60
clarity_score_1_7,expression|history_ret,0.05,0.0731,-0.0833,0.2167,0.7045,60
clarity_score_1_7,interaction_DID,-0.0167,0.096,-0.2,0.1667,0.3825,60
persuasive_intensity_1_7,retrieval|generic_expr,-0.3167,0.1152,-0.55,-0.1,0.004,60
persuasive_intensity_1_7,retrieval|history_expr,-0.3,0.0892,-0.4833,-0.1333,0.0,60
persuasive_intensity_1_7,expression|generic_ret,0.0667,0.0724,-0.0667,0.2167,0.8005,60
persuasive_intensity_1_7,expression|history_ret,0.0833,0.077,-0.0667,0.2333,0.8335,60
persuasive_intensity_1_7,interaction_DID,0.0167,0.108,-0.1833,0.2333,0.5315,60
tradeoff_disclosure_1_7,retrieval|generic_expr,0.6,0.2092,0.2,1.0167,0.997,60
tradeoff_disclosure_1_7,retrieval|history_expr,0.0,0.1546,-0.3,0.3167,0.471,60
tradeoff_disclosure_1_7,expression|generic_ret,0.9667,0.1638,0.6333,1.2833,1.0,60
tradeoff_disclosure_1_7,expression|history_ret,0.3667,0.1997,-0.0171,0.7667,0.9585,60
tradeoff_disclosure_1_7,interaction_DID,-0.6,0.2153,-1.0333,-0.1833,0.002,60
regret_risk_1_7,retrieval|generic_expr,0.6,0.1417,0.3167,0.8667,1.0,60
regret_risk_1_7,retrieval|history_expr,0.5167,0.1408,0.2333,0.7837,0.9995,60
regret_risk_1_7,expression|generic_ret,0.0333,0.0731,-0.1167,0.1667,0.639,60
regret_risk_1_7,expression|history_ret,-0.05,0.0694,-0.1833,0.0833,0.1895,60
regret_risk_1_7,interaction_DID,-0.0833,0.0966,-0.2667,0.1,0.1675,60
