session_id,segment,product_id,brand,price,quality_score,feature_match,purchase_utility,purchased,satisfaction
0,budget_student,headphones_017,Marshall,159.99,0.73,0.0,0.086,1,5.0
1,commuter,headphones_005,Philips,34.99,0.52,0.0,1.247,1,5.0
2,remote_worker,headphones_021,Sennheiser,379.99,0.93,0.0,0.091,1,5.0
3,audiophile,headphones_008,TCL,29.99,0.48,0.0,0.907,0,
4,gym_user,headphones_025,Bang & Olufsen,479.99,0.91,0.0,-0.351,0,
5,gamer,headphones_017,Marshall,159.99,0.73,0.0,0.027,1,5.0
6,frequent_traveler,headphones_004,Skullcandy,44.99,0.55,0.0,0.796,1,5.0
7,casual_listener,headphones_003,Anker Soundcore,59.99,0.6,0.0,0.11,0,
8,budget_student,headphones_017,Marshall,159.99,0.73,0.0,0.129,0,
9,commuter,headphones_003,Anker Soundcore,59.99,0.6,0.5,2.21,0,
10,remote_worker,headphones_009,Sony,149.99,0.72,0.0,1.047,1,5.0
11,audiophile,headphones_015,AKG,149.0,0.76,0.0,0.504,1,5.0
12,gym_user,headphones_021,Sennheiser,379.99,0.93,0.0,-0.097,0,
13,gamer,headphones_007,Motorola,49.5,0.53,0.0,0.655,1,5.0
14,frequent_traveler,headphones_014,Beats,189.99,0.74,0.0,0.379,1,4.0
15,casual_listener,headphones_020,Bose,429.0,0.91,0.0,-0.33,0,
16,budget_student,headphones_015,AKG,149.0,0.76,0.0,-0.435,0,
17,commuter,headphones_025,Bang & Olufsen,479.99,0.91,0.5,-0.021,0,
18,remote_worker,headphones_004,Skullcandy,44.99,0.55,0.0,-0.153,0,
19,audiophile,headphones_003,Anker Soundcore,59.99,0.6,0.0,0.259,1,5.0
20,gym_user,headphones_013,JBL,129.95,0.7,0.0,0.516,1,5.0
21,gamer,headphones_003,Anker Soundcore,59.99,0.6,0.0,0.67,1,5.0
22,frequent_traveler,headphones_006,Edifier,54.99,0.64,0.0,0.461,1,5.0
23,casual_listener,headphones_014,Beats,189.99,0.74,0.0,0.65,1,5.0
24,budget_student,headphones_011,Bose,199.0,0.8,0.0,-0.337,0,
25,commuter,headphones_003,Anker Soundcore,59.99,0.6,0.5,1.516,0,
26,remote_worker,headphones_021,Sennheiser,379.99,0.93,0.0,0.995,1,5.0
27,audiophile,headphones_011,Bose,199.0,0.8,0.0,1.044,0,
28,gym_user,headphones_002,JBL,39.99,0.58,0.0,0.86,1,5.0
29,gamer,headphones_018,Philips,199.99,0.81,0.0,0.43,1,5.0
30,frequent_traveler,headphones_002,JBL,39.99,0.58,0.5,1.263,1,5.0
31,casual_listener,headphones_013,JBL,129.95,0.7,0.0,0.67,0,
32,budget_student,headphones_014,Beats,189.99,0.74,0.0,-0.248,0,
33,commuter,headphones_018,Philips,199.99,0.81,0.5,1.789,0,
34,remote_worker,headphones_004,Skullcandy,44.99,0.55,0.0,0.058,1,5.0
35,audiophile,headphones_022,Apple,549.0,0.9,0.0,1.213,0,
36,gym_user,headphones_004,Skullcandy,44.99,0.55,0.0,1.179,0,
37,gamer,headphones_017,Marshall,159.99,0.73,0.0,1.039,0,
38,frequent_traveler,headphones_025,Bang & Olufsen,479.99,0.91,0.5,1.252,1,5.0
39,casual_listener,headphones_011,Bose,199.0,0.8,0.5,1.456,1,5.0
40,budget_student,headphones_018,Philips,199.99,0.81,0.0,0.445,0,
41,commuter,headphones_001,Sony,49.99,0.62,0.0,0.636,0,
42,remote_worker,headphones_016,Edifier,179.99,0.79,0.0,0.4,0,
43,audiophile,headphones_008,TCL,29.99,0.48,0.0,0.37,1,5.0
44,gym_user,headphones_019,Sony,399.99,0.92,0.0,0.173,0,
45,gamer,headphones_011,Bose,199.0,0.8,0.0,1.258,1,5.0
46,frequent_traveler,headphones_021,Sennheiser,379.99,0.93,0.5,1.318,1,5.0
47,casual_listener,headphones_020,Bose,429.0,0.91,0.0,0.119,1,5.0
48,budget_student,headphones_011,Bose,199.0,0.8,0.0,0.839,1,5.0
49,commuter,headphones_012,Audio-Technica,129.99,0.77,0.0,0.422,1,5.0
50,remote_worker,headphones_004,Skullcandy,44.99,0.55,0.0,-0.431,1,5.0
51,audiophile,headphones_011,Bose,199.0,0.8,0.0,1.011,1,5.0
52,gym_user,headphones_007,Motorola,49.5,0.53,0.0,-0.113,0,
53,gamer,headphones_021,Sennheiser,379.99,0.93,0.0,0.608,1,5.0
54,frequent_traveler,headphones_021,Sennheiser,379.99,0.93,0.5,2.055,0,
55,casual_listener,headphones_018,Philips,199.99,0.81,0.0,0.018,0,
56,budget_student,headphones_001,Sony,49.99,0.62,0.0,0.181,0,
57,commuter,headphones_009,Sony,149.99,0.72,0.5,0.621,1,5.0
58,remote_worker,headphones_011,Bose,199.0,0.8,0.5,0.9,1,5.0
59,audiophile,headphones_003,Anker Soundcore,59.99,0.6,0.0,0.784,1,5.0
60,gym_user,headphones_021,Sennheiser,379.99,0.93,0.0,0.264,1,5.0
61,gamer,headphones_023,Bowers & Wilkins,499.99,0.94,0.0,0.124,0,
