session_id,segment,product_id,brand,price,quality_score,feature_match,purchase_utility,purchased,satisfaction
0,budget_student,phone_chargers_015,Spigen,27.99,0.86,1.0,1.391,1,5.0
1,frequent_traveler,phone_chargers_022,Apple,59.0,0.91,0.5,1.44,1,5.0
2,iphone_user,phone_chargers_001,Anker,14.99,0.88,0.5,0.56,0,
3,android_fast_charge,phone_chargers_010,Anker,34.99,0.9,0.0,0.02,1,5.0
4,multi_device_household,phone_chargers_011,Belkin,39.99,0.87,0.0,0.386,0,
5,office_worker,phone_chargers_006,Spigen,17.99,0.84,0.0,0.982,0,
6,parent_for_family,phone_chargers_010,Anker,34.99,0.9,0.0,0.171,0,
7,safety_conscious,phone_chargers_014,Baseus,42.99,0.85,0.0,0.322,0,
8,budget_student,phone_chargers_006,Spigen,17.99,0.84,0.0,0.262,1,5.0
9,frequent_traveler,phone_chargers_025,Mophie,64.95,0.9,0.0,1.488,1,5.0
10,iphone_user,phone_chargers_007,Xiaomi,10.99,0.76,0.0,1.246,1,5.0
11,android_fast_charge,phone_chargers_023,Ugreen,74.99,0.9,0.0,0.275,1,5.0
12,multi_device_household,phone_chargers_015,Spigen,27.99,0.86,0.0,0.403,1,5.0
13,office_worker,phone_chargers_002,Belkin,19.99,0.85,0.5,1.259,1,5.0
14,parent_for_family,phone_chargers_022,Apple,59.0,0.91,0.0,-0.485,0,
15,safety_conscious,phone_chargers_014,Baseus,42.99,0.85,0.0,1.355,0,
16,budget_student,phone_chargers_006,Spigen,17.99,0.84,0.0,0.397,0,
17,frequent_traveler,phone_chargers_024,Baseus,79.99,0.88,0.0,0.869,0,
18,iphone_user,phone_chargers_018,Xiaomi,39.5,0.85,0.0,0.69,0,
19,android_fast_charge,phone_chargers_019,Anker,69.99,0.92,0.0,0.907,0,
20,multi_device_household,phone_chargers_013,Ugreen,32.5,0.86,0.0,0.28,1,5.0
21,office_worker,phone_chargers_013,Ugreen,32.5,0.86,0.0,-0.263,0,
22,parent_for_family,phone_chargers_019,Anker,69.99,0.92,0.0,-1.006,0,
23,safety_conscious,phone_chargers_016,RavPower,35.99,0.84,0.0,0.228,0,
24,budget_student,phone_chargers_002,Belkin,19.99,0.85,1.0,2.442,1,5.0
25,frequent_traveler,phone_chargers_015,Spigen,27.99,0.86,0.5,1.987,1,5.0
26,iphone_user,phone_chargers_008,RavPower,11.49,0.79,0.0,-0.042,0,
27,android_fast_charge,phone_chargers_011,Belkin,39.99,0.87,0.5,0.785,1,5.0
28,multi_device_household,phone_chargers_001,Anker,14.99,0.88,0.0,-0.057,0,
29,office_worker,phone_chargers_024,Baseus,79.99,0.88,0.0,0.073,0,
30,parent_for_family,phone_chargers_008,RavPower,11.49,0.79,0.5,1.252,1,5.0
31,safety_conscious,phone_chargers_015,Spigen,27.99,0.86,0.0,0.662,1,5.0
32,budget_student,phone_chargers_002,Belkin,19.99,0.85,1.0,0.897,1,5.0
33,frequent_traveler,phone_chargers_025,Mophie,64.95,0.9,0.0,-0.153,0,
34,iphone_user,phone_chargers_011,Belkin,39.99,0.87,0.5,0.861,1,5.0
35,android_fast_charge,phone_chargers_006,Spigen,17.99,0.84,0.5,1.222,1,5.0
36,multi_device_household,phone_chargers_021,Samsung,54.99,0.89,0.0,0.538,0,
37,office_worker,phone_chargers_024,Baseus,79.99,0.88,0.0,-0.782,0,
38,parent_for_family,phone_chargers_025,Mophie,64.95,0.9,0.0,-0.655,0,
39,safety_conscious,phone_chargers_011,Belkin,39.99,0.87,0.0,-0.129,0,
40,budget_student,phone_chargers_006,Spigen,17.99,0.84,0.0,1.187,1,5.0
41,frequent_traveler,phone_chargers_018,Xiaomi,39.5,0.85,0.0,0.427,1,5.0
42,iphone_user,phone_chargers_007,Xiaomi,10.99,0.76,0.0,0.22,1,5.0
43,android_fast_charge,phone_chargers_008,RavPower,11.49,0.79,0.0,0.313,1,5.0
44,multi_device_household,phone_chargers_018,Xiaomi,39.5,0.85,0.0,0.103,0,
45,office_worker,phone_chargers_014,Baseus,42.99,0.85,0.0,1.016,1,5.0
46,parent_for_family,phone_chargers_025,Mophie,64.95,0.9,0.0,0.178,1,5.0
47,safety_conscious,phone_chargers_020,Belkin,59.99,0.9,0.0,-0.058,0,
48,budget_student,phone_chargers_009,OnePlus,18.5,0.81,1.0,2.394,1,5.0
49,frequent_traveler,phone_chargers_015,Spigen,27.99,0.86,0.5,1.048,1,5.0
50,iphone_user,phone_chargers_011,Belkin,39.99,0.87,0.5,1.452,1,5.0
51,android_fast_charge,phone_chargers_014,Baseus,42.99,0.85,0.5,1.335,1,5.0
52,multi_device_household,phone_chargers_021,Samsung,54.99,0.89,0.0,-1.029,0,
53,office_worker,phone_chargers_010,Anker,34.99,0.9,0.5,1.178,1,5.0
54,parent_for_family,phone_chargers_024,Baseus,79.99,0.88,0.0,-0.634,1,5.0
55,safety_conscious,phone_chargers_014,Baseus,42.99,0.85,0.0,0.359,0,
56,budget_student,phone_chargers_002,Belkin,19.99,0.85,1.0,2.349,1,5.0
57,frequent_traveler,phone_chargers_014,Baseus,42.99,0.85,0.0,1.159,0,
58,iphone_user,phone_chargers_016,RavPower,35.99,0.84,0.0,-0.005,0,
59,android_fast_charge,phone_chargers_012,Samsung,29.99,0.88,0.5,2.691,1,5.0
60,multi_device_household,phone_chargers_018,Xiaomi,39.5,0.85,0.0,-0.106,0,
61,office_worker,phone_chargers_022,Apple,59.0,0.91,0.5,-0.191,0,
62,parent_for_family,phone_chargers_024,Baseus,79.99,0.88,0.0,0.499,1,5.0
63,safety_conscious,phone_chargers_012,Samsung,29.99,0.88,0.0,0.523,0,
64,budget_student,phone_chargers_015,Spigen,27.99,0.86,1.0,1.638,1,5.0
65,frequent_traveler,phone_chargers_001,Anker,14.99,0.88,0.5,1.16,0,
66,iphone_user,phone_chargers_021,Samsung,54.99,0.89,0.0,-0.189,1,5.0
67,android_fast_charge,phone_chargers_017,Mophie,24.95,0.87,0.0,0.487,0,
68,multi_device_household,phone_chargers_013,Ugreen,32.5,0.86,0.0,0.074,1,5.0
69,office_worker,phone_chargers_014,Baseus,42.99,0.85,0.0,0.776,0,
70,parent_for_family,phone_chargers_011,Belkin,39.99,0.87,0.0,0.142,0,
71,safety_conscious,phone_chargers_016,RavPower,35.99,0.84,0.0,0.753,1,5.0
72,budget_student,phone_chargers_020,Belkin,59.99,0.9,0.0,-0.213,0,
73,frequent_traveler,phone_chargers_004,Baseus,15.99,0.78,0.0,1.027,0,
74,iphone_user,phone_chargers_025,Mophie,64.95,0.9,0.5,0.848,0,
75,android_fast_charge,phone_chargers_012,Samsung,29.99,0.88,0.5,1.411,0,
76,multi_device_household,phone_chargers_004,Baseus,15.99,0.78,0.0,1.484,0,
77,office_worker,phone_chargers_008,RavPower,11.49,0.79,0.5,1.569,1,5.0
78,parent_for_family,phone_chargers_002,Belkin,19.99,0.85,0.0,0.261,0,
79,safety_conscious,phone_chargers_021,Samsung,54.99,0.89,0.0,0.751,1,5.0
80,budget_student,phone_chargers_022,Apple,59.0,0.91,1.0,1.762,1,5.0
81,frequent_traveler,phone_chargers_008,RavPower,11.49,0.79,0.5,1.381,1,5.0
82,iphone_user,phone_chargers_020,Belkin,59.99,0.9,0.5,0.804,1,5.0
83,android_fast_charge,phone_chargers_023,Ugreen,74.99,0.9,0.0,0.006,1,5.0
84,multi_device_household,phone_chargers_020,Belkin,59.99,0.9,0.0,0.068,0,
85,office_worker,phone_chargers_014,Baseus,42.99,0.85,0.0,0.652,0,
86,parent_for_family,phone_chargers_002,Belkin,19.99,0.85,0.0,0.449,1,5.0
87,safety_conscious,phone_chargers_016,RavPower,35.99,0.84,0.0,1.512,1,5.0
88,budget_student,phone_chargers_009,OnePlus,18.5,0.81,1.0,1.666,1,5.0
89,frequent_traveler,phone_chargers_008,RavPower,11.49,0.79,0.5,1.088,1,5.0
90,iphone_user,phone_chargers_014,Baseus,42.99,0.85,0.5,1.151,1,5.0
91,android_fast_charge,phone_chargers_016,RavPower,35.99,0.84,0.0,0.151,0,
92,multi_device_household,phone_chargers_005,Aukey,13.99,0.82,0.0,-0.133,0,
93,office_worker,phone_chargers_023,Ugreen,74.99,0.9,0.0,-0.484,0,
94,parent_for_family,phone_chargers_021,Samsung,54.99,0.89,0.0,0.801,0,
95,safety_conscious,phone_chargers_023,Ugreen,74.99,0.9,0.0,0.606,0,
96,budget_student,phone_chargers_022,Apple,59.0,0.91,1.0,1.193,1,5.0
97,frequent_traveler,phone_chargers_019,Anker,69.99,0.92,0.0,0.352,1,4.0
98,iphone_user,phone_chargers_014,Baseus,42.99,0.85,0.5,0.939,1,5.0
99,android_fast_charge,phone_chargers_011,Belkin,39.99,0.87,0.5,0.944,0,
100,multi_device_household,phone_chargers_012,Samsung,29.99,0.88,0.0,0.951,0,
101,office_worker,phone_chargers_020,Belkin,59.99,0.9,0.0,0.877,1,5.0
102,parent_for_family,phone_chargers_017,Mophie,24.95,0.87,0.0,-0.184,0,
103,safety_conscious,phone_chargers_021,Samsung,54.99,0.89,0.0,0.849,0,
104,budget_student,phone_chargers_008,RavPower,11.49,0.79,1.0,1.801,1,5.0
105,frequent_traveler,phone_chargers_009,OnePlus,18.5,0.81,0.5,0.947,1,5.0
106,iphone_user,phone_chargers_014,Baseus,42.99,0.85,0.5,0.631,0,
107,android_fast_charge,phone_chargers_009,OnePlus,18.5,0.81,0.0,0.827,1,5.0
108,multi_device_household,phone_chargers_010,Anker,34.99,0.9,0.0,0.113,1,5.0
109,office_worker,phone_chargers_024,Baseus,79.99,0.88,0.0,0.134,0,
110,parent_for_family,phone_chargers_013,Ugreen,32.5,0.86,0.0,0.865,0,
111,safety_conscious,phone_chargers_008,RavPower,11.49,0.79,0.0,0.067,0,
112,budget_student,phone_chargers_024,Baseus,79.99,0.88,0.0,-0.356,1,5.0
113,frequent_traveler,phone_chargers_007,Xiaomi,10.99,0.76,0.5,1.168,1,5.0
114,iphone_user,phone_chargers_002,Belkin,19.99,0.85,0.5,1.964,1,5.0
115,android_fast_charge,phone_chargers_022,Apple,59.0,0.91,0.5,1.214,1,5.0
116,multi_device_household,phone_chargers_011,Belkin,39.99,0.87,0.0,0.275,1,5.0
117,office_worker,phone_chargers_011,Belkin,39.99,0.87,0.0,-0.074,0,
118,parent_for_family,phone_chargers_020,Belkin,59.99,0.9,0.0,-0.307,1,5.0
119,safety_conscious,phone_chargers_015,Spigen,27.99,0.86,0.0,0.699,0,
