asin,title,brand,price,average_rating,rating_count,features,description,popularity_rank,category,price_tier,popularity_tier
B07ZPC9QD4,Apple AirPods Pro,Apple,249.0,4.8,300544,"Active noise cancellation for immersive sound | Transparency mode for hearing and connecting with the world around you | Three sizes of soft, tapered silicone tips for a customizable fit | Sweat and water resistant | Adaptive EQ automatically tunes music to the shape of your ear | Easy setup for all your Apple devices | Quick access to Siri by saying “Hey Siri” | The Wireless Charging Case delivers more than 24 hours of battery life",,1,headphones,premium,bestseller
B01M0GB8CC,"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",Apple,16.99,4.6,201075,"Unlike traditional, circular earbuds, the design of the EarPods is defined by the geometry of the ear. Which makes them more comfortable for more people than any other earbud-style headphones. | The speakers inside the EarPods have been engineered to maximize sound output and minimize sound loss, which means you get high-quality audio. | The EarPods with Lightning Connector also include a built-in remote that lets you adjust the volume, control the playback of music and video, and answer or end calls with a pinch of the cord. | Works with all devices that have a Lightning connector and support iOS 10 or later, including iPod touch, iPad, and iPhone. Also works with iPad models with iPadOS.",,2,headphones,budget,bestseller
B07S764D9V,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Microphone and Call Controller, Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops - RP-TCM125-A (Blue)",Panasonic,13.99,4.3,136251,"The RP-TCM125 ErgoFit Earbud Headphones with Microphone and Call Controller are the perfect combination of style, comfort, functionality and most of all, high-quality sound. The In-line microphone on the cord of earbud headphones is used for answering calls or voice commands. Three sets of earpads (S/M/L included) | Product Note : If the size of the earbud tips does not match the size of your ear canals or the headset is not worn properly in your ears, you may not obtain the correct sound qualities or call performance. Change the earbud tips to ones that fit more snugly in your ears","The Panasonic RP-TCM125 ErgoFit Earbud Headphones with Microphone and Call Controller are the perfect combination of style, comfort, functionality and most of all, high-quality sound. The In-line microphone on the cord of earbud headphones is used for answering calls or voice commands; Compatible with iPhone, Android and Blackberry. Earbuds with three sets of earpads (S/M/L included), provide a custom, comfortable ergonomic fit that won’t slip out. Choose from eleven (11) vivid color options wit",3,headphones,budget,bestseller
B09XRCVYGC,"OnePlus Bullets Wireless Z2 Bluetooth 5.0 in Ear Earphones, Bombastic Bass – 12.4 mm Drivers, 30 Hrs Battery Life (Magico Black)",ONEPLUS,52.0,4.2,121313,"A quick 10-minute charge delivers up to 20 hours of immersive audio playback. | The flagship-level battery life delivers up to 30 hours of non-stop music on a single charge. | A large 12.4 mm bass driver delivers uncompromisingly deep bass for powerful beats. Experience incredibly rich audio detail at every frequency with the titanium coating dome | Anti-distortion audio technology ensures your audio playtime stays silky-smooth. Thanks to the larger sound cavity and industry-leading algorithms, notes remain distortion-free | Water and sweat-resistant, the IP55-rated internals and design ensure your OnePlus Bullets Wireless Z2 stay all-weather ready.","OnePlus Bullets Wireless Z2 Beyond Bass-ic Charge for 10 minutes, enjoy for 20 hours Minor differences exist between regional variants. Refer to region-specific product page. Charging data is from OnePlus test lab (Date: Dec 7, 2021. Actual performance may vary based on charging/environmental conditions). Press play all day The flagship-level battery life delivers up to 30 hours of non-stop music on a single charge. Stay connected with family and friends for longer with up to 16 hours of talk ti",4,headphones,midrange,bestseller
B08TMJFSV3,"Soundcore Anker Life P2 True Wireless Earbuds, Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",Soundcore,39.99,4.2,117047,"Incredible Sound Loved by 20 Million+ People | Perfect for Home Offices: Each earbud has two microphones with beamforming noise reduction as well as cVc 8.0 technology for superior vocal enhancement and background-noise suppression. | Incredible Sound Powered By Graphene Drivers: Delivers music with a wider soundstage and exceptional accuracy and clarity. BassUp technology enhances bass by up to 43% and aptX audio offers lossless transmission between your device and the wireless earbuds. | 40-Hour Playtime* with Fast Charge: A single charge gives you a full 7 hours of listening, while the charging case extends that to 40 hours. When you’re in a rush and need power fast, simply charge for 10 minutes and get up to 1 hour of playtime. | IPX7 Waterproof: Life P2 wireless earbuds boast IPX7-rated protection that defends against liquids in any weather conditions.",,5,headphones,midrange,bestseller
B00PKTU83U,"Sony ZX Series Wired On-Ear Headphones with Mic, White MDR-ZX110AP",Sony,18.25,4.5,104579,"Lightweight 1.38 in neodymium dynamic drivers deliver a punchy, rhythmic response to even the most demanding tracks | The swiveling earcup design allows easy storage when you’re not using them, and enhances portability when you’re traveling | With an inline remote and built-in microphone on the headphone cord, take hands-free calls from selected smartphones while listening to music | Cushioned earpads for total comfort and enfolding closed-back design seals in sound | The wide frequency range—spanning 12 Hz to 22 kHz—delivers deep bass, rich midrange, and soaring highs | Plug: L-shaped stereo mini plug 3.5mm","Form meets function with smartphone control for life on the go. More than your basic pair of over-the-head headphones, the Sony MDR-ZX110AP headset delivers rock-solid audio performance, integrated microphone for hands-free calling and media playback controls for convenient operation.",6,headphones,budget,mainstream
B08K2S5B88,"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing(Black/Green)",ZIHNIC,27.99,4.4,73753,"【ASTONISHING SOUND PRODUCTION 】: High Definition Stereo Headphones, specially developed software and noise reduction technology designed to prevent you from heating ambient noises and makes you focus on what you want to hear. Lose yourself in immersive music even in the lowest volume levels! The goal that provide customers with outstanding sound quality is our constant pursuit | 【BUILT FOR YOUR COMFORTABILITY 】: The earmuff is made by artificial leather, ensuring lasting comfort. They are foldable and stretchable, which allows you to find the perfect fit without constraint and excellent durability. Zihnic is the best choice for travel, sport and daily use by Unisex Kids, Teens and Adults. | 【SEAMLESS BLUETOOTH CONNECTION】: Built to provide a quick and stable Bluetooth connection . Just slide the on/off button and the headphones will be in ready to pair mode. The Wireless Headphones are compatible with all Bluetooth or 3.5mm plug cable enabled devices! You can also receive calls and have hands-free communication through the special noise reduction technology microphone Zihnic Headphones are compatible with all Phones X, 8 Plus, Samsung S9, S8, Pads, Pods, Huawei, Nexus, Amazon Alex | 【ERGONOMIC DESIGN】 : Zihnic headphones are built from materials that are extremely nice to touch which provides the model premium outlook. The super soft memory-protein foam leather earmuffs and headbands contribute to maximum comfort regardless of how long you use them. Zihnic headphones also come with a protective Premium Case - a great way to reduce wear and tear. | 【LONG BATTERY LIFE & DUAL MODE】: Zihnic Headphones are rechargeable. 450mAh battery, 14 hours of music time, 2.5 hours fast charing. After 20 hours of playtime, you can switch to wired mode and enjoy your music NON-STOP. You do not need to worry about power shortage problem for the long travel. By choosing Zihnic, You are covered with 12 months warranty and 100% Customer satisfaction in addition to 24/7 customer support service.",,7,headphones,midrange,mainstream
B0C337TNGS,"Beats Powerbeats Pro Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 9 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Ivory",Beats,199.95,4.5,70897,"Totally wireless high-performance earphones | Up to 9 hours of listening time (more than 24 hours with charging case) | Adjustable, secure-fit earhooks for lightweight comfort and stability | Reinforced design for sweat & water resistance during tough workouts | Volume & track controls on each earbud, voice capability, and Auto Play/Pause | Powerful, balanced sound with dynamic range and noise isolation | Earbuds connect independently via Class 1 Bluetooth for extended range and fewer dropouts | With Fast Fuel, a 5-minute charge gives 1.5 hours of playback when battery is low | Enhanced phone call performance and call handling from either earbud | What's in the box - Powerbeats Pro, Charging case, Eartips with four size options, Lightning to USB-A charging cable, Quick start guide (USB power adapter sold separately)",,8,headphones,premium,mainstream
B0C337RV7Q,"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours of Listening Time, Built-in Microphone - Red (Latest Model)",Beats,129.0,4.7,67998,"High-performance wireless Bluetooth headphones | Features the Apple W1 chip and Class 1 wireless Bluetooth connectivity | With up to 40 hours of battery life, Beats Solo3 wireless is your perfect everyday headphone | Compatible with iOS and Android devices | With Fast Fuel, 5 minutes of charging gives you 3 hours of playback when battery is low | Adjustable fit with comfort-cushioned ear cups made for everyday use | Sleek, streamlined design that’s durable and foldable to go everywhere you do | Take calls, control your music, and activate Siri with the multifunction on-ear controls | The award-winning sound and design you’ve come to love from Beats, with premium playback with fine-tuned acoustics that maximize clarity, breadth, and balance | What's in the box - Beats Solo3 Wireless headphones, Carrying case, 3.5mm RemoteTalk cable, Universal USB charging cable (USB-A to USB Micro-B), Quick Start Guide, Warranty Card (USB power adapter sold separately)",,9,headphones,premium,mainstream
B0C338S8M7,"Beats Studio Buds – True Wireless Noise Cancelling Earbuds – Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Moon Gray",Beats,149.95,4.4,67037,"Custom acoustic platform delivers powerful, balanced sound | Control your sound with two distinct listening modes: Active Noise Cancelling (ANC) and Transparency mode | Three soft ear tip sizes for a stable and comfortable fit while ensuring an optimum acoustic seal | Up to 8 hours of listening time (up to 24 hours combined with pocket-sized charging case) | Industry-leading Class 1 Bluetooth for extended range and fewer dropouts | High-quality call performance and voice assistant interaction via built-in microphones | IPX4-rated sweat- and water-resistant wireless earbuds | Beats wireless headphones and earphones are compatible with Apple and Android devices | What’s in the box – Beats Studio Buds true wireless noise cancelling earphones, charging case, ear tips with three size options, USB-C to USB-C charging cable, Quick Start Guide, warranty card (USB-C power adapter sold separately)",,10,headphones,premium,mainstream
