asin,title,brand,category,popularity_rank,rating_count,average_rating,price,overall_sentiment,positive_feedback_ratio,key_positive_features,common_complaints,best_fit_segments,poor_fit_segments,review_volume_category,feature_count
B0CC2FVRJW,"Xiaomi Redmi Watch 3 Active Smart Watch Fitness Tracker with 100 Sport Modes, Blood Oxygen Heart Rate Sleep Monitor, Bluetooth Phone Call Watch for iPhone Android, Black",Xiaomi,smartwatches,1,83594,4.5,69.99,overwhelmingly positive,very high,"Ultra-large 1.83"" display - Easier to view: The brand-new ultra-large and iridescent 1.83"" display features rich colours, clear display and stunning vision, allowing you to view everything at a glance from the message notification to workout data. The 2.5D curved high-strength glass allows for a more elegant appearance and better wear resistance. | 200+ watch faces - Change at your will: More than 200 watch faces allow you to change themes at your will. It is easy to show your unique personality at the raise of your hand. Classic rectangle shaped case - Metallic finish middle frame: The classic and simple rectangle watch case features an NCVM-processed body, with a metallic finish that enhances its exquisite appearance. Its dual-colour (tarnish and silver) look also shows your good taste. | Bluetooth voice calls - Easy and convenient: Connect your watch to your smartphone via Bluetooth. Phone calls can be answered on the watch with only a tap. Whether you are working or doing exercise, you can raise your hand to answer phone calls in a cooler and more convenient way. | 100+ fitness modes - More professional and free to practise: Redmi Watch 3 Active smart watch offers you more than 100 sport modes, including 10 professional sports modes*. The built-in sensors and professional sports algorithms can monitor and analyse your body when you do your favourite sports, showing your efforts at a glance.",minor complaints about fit or durability,health-conscious users | Apple ecosystem users | wellness and sleep tracking users,no built-in GPS; not ideal for serious outdoor athletes,bestseller,9
B07K3HLMTF,Apple Watch Series 3 [GPS 38mm] Smart Watch w/Space Gray Aluminum Case & Black Sport Band,Apple,,2,64087,4.8,169.0,overwhelmingly positive,very high,Optical heart sensor | Water resistance 50 meters | swimproof | Retina display,minor complaints about fit or durability,general consumers,no major segment mismatches reported,bestseller,5
B09HG8L5HQ,Apple Watch Series 7 [GPS + Cellular 45mm] Smart Watch w/Graphite Stainless Steel Case with Midnight Sport Band,Apple,,3,52130,4.8,499.0,overwhelmingly positive,very high,Always-On Retina display | Blood oxygen | GPS + Cellular | Water resistant,minor complaints about fit or durability,general consumers,no major segment mismatches reported,bestseller,4
B08MVYQTRR,"AGPTEK Smart Watch for Women, Smartwatch for Android and iOS Phones IP68 Waterproof Activity Tracker with Full Touch Color Screen Heart Rate Monitor Pedometer Sleep Monitor, Pink",AGPTEK,smartwatches,4,50643,4.2,44.99,generally positive,high,"【Your Watch, Your Style】1.3""/33mm touch screen covered with rose gold metal frame, so elegant and nice, but sturdy and anti-scratch. The smart watch contains 5 dials readily available to choose from along with another 30 more dials within the app. You can also customize your watch faces. It can be any photo, such as your family, pet ,etc. NOTE: When there is a software update prompt on the APP, it is recommended to upgrade to the latest software version for a better experience! | 【Your Personal Smart Assistant】Activity tracker (pedometer, calories, distance), heart rate, various sport modes, sleep monitoring.,etc. Get notifications of Call, SMS, and APP messages(THE WATCH CAN NOT MAKE MESSAGES, CALLS or TEXT BACK, Bluetooth distance 8-10 meters), remote control of music and cameras, weather report, sedentary reminder, alarm clock, stopwatch, find phone, call rejection, brightness adjustment, power-saving mode, and other functions to meet your daily needs. | 【Long Battery & IP68 Waterproof】The smartwatch only takes 2 hours to charge and can be used for 7-10 days or 30 days standby time, much longer than most traditional watches. The fitness watch is IP68 waterproof, you can wear it when washing hands, in the rain(Note: Do Not use in water more than 100. 40℉, such as showers, saunas, spring, etc). | 【Safe Guard Your Health】Advanced HR sensor for accurate and effective heart rate monitoring, helping you better understand your health and making a reasonable adjustment to your lifestyle. Automatic sleep tracking can monitor your sleep status (deep sleep, shallow sleep, awakening) and provide a comprehensive sleep quality analysis to help become healthier. You can view the summary of your status in the fitcloudpro APP.",some complaints about build quality or value for money,health-conscious users | Apple ecosystem users | wellness and sleep tracking users,no built-in GPS; not ideal for serious outdoor athletes,bestseller,5
B09HDDSVJG,Apple Watch Series 3 [GPS 38mm] Smart Watch w/Silver Aluminum Case & White Sport Band,Apple,,5,47881,4.8,169.0,overwhelmingly positive,very high,Optical heart sensor | Water resistance 50 meters | Retina display | watchOS,minor complaints about fit or durability,general consumers,no major segment mismatches reported,bestseller,4
B0B3RRWSF6,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Fire-Boltt,smartwatches,6,45970,4.2,28.99,generally positive,high,"Fire-Boltt is India' No 1 Wearable Watch Brand Q122 by IDC Worldwide quarterly wearable device tracker Q122.【Bluetooth Calling Watch】- Fire-Boltt Phoenix enables you to make and receive calls directly from your watch via the built-in speaker and microphone. This smartwatch features a dial pad, option to access recent calls & sync your phone’s contacts.;【High Resolution Display】- Comes with a 1.3"" TFT Color Full Touch Screen and a 240*240 Pixel High Resolution this watch is covered to flaunt the sleek and stylish look always. | 【120+ Sports Modes】- Track each activity effectively with this smartwatch & activity tracker. Track your calories, steps and much more while you are on your fitness journey. This fitness tracker has it all;【In Built Mic & Speaker】- Get HD calling experience with this power-packed watch. Enhance the look of your wrist with attractive colors and sleek finish | 【Smart Health】- With the latest HRS3300 technology track your heart rate anytime of the day or even while you perform some activity. The optical sensors assure results so accurate. Monitor your blood oxygen levels to stay fit and healthy;【Smartphone Notifications】- Get all your mobile phone notifications on this 1.3"" Round Display Full touch smartwatch and never be late for a meeting, party or date. | 【Gaming On Wrist】- Enjoy playing games on the wrist itself as you are on the go. 【Breathe Function】- Ensure your breathing exercise is fit and healthy with the breathing function.; 【Multiple Watch Faces】- Over 100 Cloud based watch faces to choose from and match your outfit and look each day everyday",some complaints about build quality or value for money,health-conscious users | Apple ecosystem users | casual fitness trackers,limited app ecosystem and display quality vs premium watches | no built-in GPS; not ideal for serious outdoor athletes,mainstream,5
B0BF57RN3K,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",Fire-Boltt,smartwatches,7,26912,4.2,29.99,generally positive,high,"Fire-Boltt is India' No 1 Wearable Watch Brand Q122 by IDC Worldwide quarterly wearable device tracker Q122.【Bluetooth Calling Watch】- Fire-Boltt Ninja Call Pro Plus Smartwatch enables you to make and receive calls directly from your watch via the built-in speaker and microphone. This smartwatch features a dial pad, option to access recent calls & sync your phone’s contacts. | 【1.83"" HD Display Smart Watch】- The 46.48mm (1.83-inch) HD display makes the display clear and true-to-life, with vivid colours ensuring smooth readability and keeping the watch as exquisite to look at as when you first lay your eyes on it. | 【AI Voice Assistant】- With built-in Voice assistant, you can simply speak to the smartwatch & get things done on your command | 【100 Sport Modes】- Track every trek you take or every football, cricket kabaddi match you play. With over 100 sports modes Fire-Boltt Ninja Call Pro Plus has you covered.",some complaints about build quality or value for money,health-conscious users | wellness and sleep tracking users | budget-conscious first-time smartwatch buyers,limited app ecosystem and display quality vs premium watches | no built-in GPS; not ideal for serious outdoor athletes,mainstream,5
B0BLD1HN66,"SAMSUNG Galaxy Watch 4 44mm Smartwatch with ECG Monitor Tracker for Health, Fitness, Running, Sleep Cycles, GPS Fall Detection, LTE, US Version, Silver",SAMSUNG,smartwatches,8,25548,4.6,207.74,overwhelmingly positive,very high,"BODY COMPOSITION ANALYSIS: Galaxy Watch4 is the first smartwatch to off body composition data right on your wrist, On your own schedule, now you can get readings on body fat, skeletal muscle, body water, basal metabolic rate, and Body Mass Index.Supported Application:Fitness Tracker,GPS,Sleep Monitor. Connectivity technology:Bluetooth,Cellular GPS. Wireless comm standard:Bluetooth | BETTER SLEEP STARTS HERE: Wake up feeling refreshed and recharged with advanced sleep tracking; When you go to bed, your Galaxy Watch4 sleep tracker starts monitoring your sleep and SpO2 levels continuously | BE SMART ABOUT YOUR HEART: Take care of your heart with accurate ECG monitoring and keep an eye on possible atrial fibrillation, a common form of irregular heart rhythm; Share personalized readings with your doctor using the Samsung Health Monitor app on your compatible Galaxy phone | MAKE EVERY WORKOUT COUNT: Get the most out of every exercise session with advanced workout tracking that recognizes 6 popular activities, from running to rowing to swimming, automatically in just 3 minutes; Stay motivated by connecting to live coaching sessions via your smartphone or to dynamic Group Challenges with your friends",minor complaints about fit or durability,runners and outdoor athletes | health-conscious users | Android ecosystem users,no major segment mismatches reported,mainstream,7
B09S17DYG2,"Garmin 010-02064-00 Instinct, Rugged Outdoor Watch with GPS, Features Glonass and Galileo, Heart Rate Monitoring and 3-Axis Compass, Graphite",Garmin,smartwatches,9,22466,4.7,165.1,overwhelmingly positive,very high,"Rugged GPS watch built to withstand the toughest environments.Supported Application:Phone. . Wireless comm standard:Bluetooth | Constructed to U.S. Military standard 810G for thermal, shock and water resistance (rated to 100 meters) | Built in 3 axis compass and barometric altimeter, plus multiple global navigation satellite systems (GPS, Glonass and Galileo) support helps track in more challenging environments than GPS alone | Monitor your estimated heart rate, activity and stress; Train with preloaded activity profiles. Strap material: Silicone",minor complaints about fit or durability,runners and outdoor athletes | health-conscious users | wellness and sleep tracking users,no major segment mismatches reported,mainstream,7
B0BFZNDMFC,"Motast Smart Watch 2022 Watches for Women, Fitness Tracker 1.69"" Touch Screen Smartwatch Fitness Watch Heart Rate Monitor, IP68 Waterproof Pedometer Activity Tracker Sleep Monitor for Android iPhone",Motast,smartwatches,10,20524,3.9,39.99,mixed but leaning positive,moderate,"Multifunction: This smart watch includes more practical functions, Fitness Tracker (Pedometer, Calories, Distance), GPS tracking, Heart Rate Monitor, Blood Pressure Monitor, 24 Sports Modes, IP68 Waterproof, Sleep Monitor, Blood Oxygen Monitor, Call Notifications, SMS and APP Messages (WhatsAPP, Facebook, Messenger, Instagram...), Music & Camera Control, Brightness Adjustment, Weather Display, Sedentary Reminder, Gmail, Alarm Clock, Stopwatch, Find Phone, Find watch. | 1.69"" Full touch screen smart watches for women: This womens watches features a 1.69 inch TFT color display, makes it clear and intuitive to understand your health and sports data. Strong and durable 2.5D glass makes your smartwatch much more scratch-resistant. With 4 levels of brightness, you can also adjust the brightness to see the display clearly. There are multiple watch faces to choose from, you can also customize the dial to show your personality. | Heart Rate Monitor and Sleep Tracker: Heart rate monitor and blood pressure and blood oxygen monitor can help you better understand your health and make reasonable adjustment on your life-style. Fitness tracker watch also monitor sleep and provides comprehensive analysis of your sleep, accurately recording the deep sleep and light sleep time per night and reminding you to adjust your sleep habits. (NOTE: the data cannot be used as a medical-grade test.) | 24 Sports Modes and Activity Tracker: This womens smart watches ​has 24 sports modes (walking, running, cycling, swimming, skipping, yoga, basketball, football, etc). The sport watch accurately records all-day activities such as steps, calories burned, distances, active minutes. The GPS can track all your workout routes, distances, and physical status during exercise, optimize workouts and detect health trends, inspiring you to improve your health and fitness goals.",notable complaints about quality consistency or missing features,runners and outdoor athletes | health-conscious users | Apple ecosystem users,limited app ecosystem and display quality vs premium watches,mainstream,5
