consumer_id,product_id,Q_selected,Q_selected_std,incumbent,focal_brand,category,z,expression_intensity,Y_prob,Y
0,charger_samsung_45w,0.7154,1.6517985875929155,1,0,phone_charger,0,1.4516283124274179,0.7529352749198618,1
1,charger_anker_nano_67w,0.6909,1.444420133691994,1,1,phone_charger,0,1.4166417749587008,0.7225044565570123,1
2,charger_anker_nano_67w,0.4911,-0.24677231893674095,1,1,phone_charger,0,-0.1962496952593365,0.3118621288371898,1
3,charger_anker_prime_100w,0.6805,1.3563900961177258,1,1,phone_charger,0,1.5563957718117096,0.719949592908487,1
4,charger_anker_prime_100w,0.5885,0.5776628406530432,1,1,phone_charger,0,0.8750542047554235,0.5400721121776111,0
5,charger_belkin_25w,0.5465,0.22215691968003545,1,0,phone_charger,0,1.3914288189397124,0.5231110027868762,0
6,charger_anker_nano_67w,0.7901,2.2840912613234785,1,1,phone_charger,0,3.4773927054552187,0.9060176109527952,1
7,charger_anker_nano_67w,0.704,1.555304123328813,1,1,phone_charger,0,1.4805177567034233,0.7420965567476324,1
8,charger_anker_nano_67w,0.8256,2.584578408812568,1,1,phone_charger,0,2.92871897233788,0.907564751043189,1
9,charger_anker_nano_67w,0.6638,1.2150341703975056,1,1,phone_charger,0,1.177918985229556,0.6710185827620322,0
10,charger_anker_prime_100w,0.6005,0.6792359609310453,1,1,phone_charger,0,0.9224015723325807,0.5617594377272321,0
11,charger_anker_prime_100w,0.6375,0.9924197484548845,1,1,phone_charger,0,1.9217820448190253,0.6936666317257952,0
12,charger_ugreen_100w,0.7259,1.7406750678361669,0,0,phone_charger,0,2.7888415451260498,0.8597111947096974,1
13,charger_apple_35w_duo,0.6161,0.8112810172924476,1,0,phone_charger,0,0.6082694908206987,0.5574430117549702,0
14,charger_ugreen_100w,0.5996,0.6716179769101951,0,0,phone_charger,0,0.4279572925514003,0.47106018925139104,0
15,charger_anker_nano_67w,0.747,1.919274470991654,1,1,phone_charger,0,2.443116980417964,0.8386994567029665,1
16,charger_apple_35w_duo,0.5015,-0.15874228136247276,1,0,phone_charger,0,-0.30886320071581846,0.3166474885032659,0
17,charger_baseus_65w,0.534,0.11635158605711697,0,0,phone_charger,0,-0.15893899252622606,0.31044849446056544,1
18,charger_ugreen_100w,0.6643,1.219266383742423,0,0,phone_charger,0,1.724098083730971,0.7141315625321003,1
19,charger_anker_nano_67w,0.632,0.9458654016608007,1,1,phone_charger,0,0.848799533636925,0.6008925892402369,1
20,charger_anker_nano_67w,0.6835,1.3817833761872262,1,1,phone_charger,0,0.7967768003119974,0.6673270196085221,1
21,charger_anker_nano_67w,0.777,2.1732072716866595,1,1,phone_charger,0,2.2229334621742973,0.8518609313698506,1
22,charger_apple_35w_duo,0.6234,0.8730713321282321,1,0,phone_charger,0,0.8232156939707873,0.5864418604388066,1
23,charger_belkin_25w,0.5904,0.5937452513637269,1,0,phone_charger,0,0.5295720104064775,0.5127402116221567,0
24,charger_anker_nano_67w,0.6092,0.7528764731325963,1,1,phone_charger,0,1.197586947540159,0.5977668652611503,0
25,charger_anker_nano_67w,0.8299,2.620975443578852,1,1,phone_charger,0,2.066347027087942,0.8816244808968691,1
26,charger_anker_nano_67w,0.6371,0.9890339777789515,1,1,phone_charger,0,1.9913455494962014,0.6983166565204625,1
27,charger_anker_nano_67w,0.6075,0.73848694775988,1,1,phone_charger,0,1.1117196820736663,0.588082159543723,0
28,charger_anker_nano_67w,0.6281,0.9128541375704499,1,1,phone_charger,0,1.0594682306899172,0.6129695234718525,1
29,charger_anker_prime_100w,0.64,1.0135808151794687,1,1,phone_charger,0,0.7658633081189125,0.6052905649085741,1
30,charger_samsung_45w,0.6897,1.434262821664194,1,0,phone_charger,0,0.5344701972915014,0.6549904469828183,1
31,charger_anker_nano_67w,0.6114,0.7714982118502307,1,1,phone_charger,0,0.7103935790847054,0.559389932736737,1
32,charger_anker_nano_67w,0.7755,2.160510631651909,1,1,phone_charger,0,2.452768885495545,0.8606652771767073,1
33,charger_anker_prime_100w,0.5299,0.08164743662879966,1,1,phone_charger,0,0.4647801371356771,0.4181983485923957,0
34,charger_samsung_45w,0.6452,1.057595833966603,1,0,phone_charger,0,0.7538095309552568,0.6116255790542936,0
35,charger_anker_nano_67w,0.7064,1.5756187473844139,1,1,phone_charger,0,2.122055634693384,0.7851024127849754,1
36,charger_anker_nano_67w,0.7451,1.9031920602809702,1,1,phone_charger,0,1.893833250088169,0.8092394809357062,1
37,charger_baseus_65w,0.5837,0.5370335925418421,0,0,phone_charger,0,0.1977286248934405,0.41940602924707304,0
38,charger_belkin_25w,0.8129,2.477080189851682,1,0,phone_charger,0,3.1127044998360534,0.9066501768654762,1
39,charger_samsung_45w,0.6889,1.427491280312327,1,0,phone_charger,0,1.3234395410550417,0.7135007839058192,0
40,charger_apple_35w_duo,0.566,0.38721324013178854,1,0,phone_charger,0,0.7159494008312486,0.4929083651830991,0
41,charger_anker_nano_67w,0.7775,2.177439485031576,1,1,phone_charger,0,1.3712891399881832,0.8106376582399215,1
42,charger_anker_nano_67w,0.5993,0.6690786489032453,1,1,phone_charger,0,-0.2440961882527135,0.4583272441728886,0
43,charger_anker_nano_67w,0.6675,1.24635254914989,1,1,phone_charger,0,0.9474739126657159,0.6579253875611984,1
44,charger_anker_prime_100w,0.532,0.09942273267744994,1,1,phone_charger,0,-0.1396957601487963,0.37068072583398703,0
45,charger_samsung_45w,0.6087,0.74864425978768,1,0,phone_charger,0,0.3761023350148073,0.5263971336786242,0
46,charger_samsung_45w,0.6379,0.9958055191308185,1,0,phone_charger,0,1.9572282141603836,0.6967974576957235,0
47,charger_anker_nano_67w,0.7415,1.8727201241975702,1,1,phone_charger,0,1.4296923437881488,0.7792491963414745,1
48,charger_apple_35w_duo,0.6347,0.9687193537233514,1,0,phone_charger,0,1.0905039508243113,0.6247548835989013,1
49,charger_anker_nano_67w,0.7423,1.8794916655494363,1,1,phone_charger,0,2.208745777465447,0.8232764188187373,1
50,charger_samsung_45w,0.6177,0.8248240999961817,1,0,phone_charger,0,1.29120316223529,0.6175820885112691,1
51,charger_anker_nano_67w,0.627,0.903543268211633,1,1,phone_charger,0,0.8568307420249452,0.5944448432256715,0
52,charger_samsung_45w,0.487,-0.2814764683650583,1,0,phone_charger,0,-0.3699667849327919,0.29389904425789604,1
53,charger_anker_nano_67w,0.7359,1.825319334734502,1,1,phone_charger,0,2.408426697551266,0.82787951125422,1
54,charger_anker_nano_67w,0.6193,0.8383671826999147,1,1,phone_charger,0,0.019381445813560827,0.510908402285229,1
55,charger_belkin_25w,0.5878,0.5717377419701594,1,0,phone_charger,0,0.6721946554209473,0.5213581323728728,0
56,charger_belkin_25w,0.7218,1.7059709184078498,1,0,phone_charger,0,2.016052007561361,0.794096576452402,1
57,charger_belkin_25w,0.5545,0.2898723331987036,1,0,phone_charger,0,-0.25407011117643996,0.3926911845280085,0
58,charger_samsung_45w,0.5871,0.5658126432872757,1,0,phone_charger,0,1.335635812207458,0.5777494367340813,1
59,charger_samsung_45w,0.7148,1.646719931579015,1,0,phone_charger,0,0.9972358167017762,0.7214642656524811,1
60,charger_anker_prime_100w,0.5489,0.24247154373563645,1,1,phone_charger,0,0.3460151426019754,0.43556907431065384,1
61,charger_belkin_25w,0.5478,0.23316067437681876,1,0,phone_charger,0,0.4923484063952426,0.4465881720616976,0
62,charger_ugreen_100w,0.7264,1.7449072811810842,0,0,phone_charger,0,2.172309786602322,0.8187037688386563,1
63,charger_apple_35w_duo,0.626,0.8950788415217995,1,0,phone_charger,0,0.6572618132118428,0.576054367793425,1
64,charger_apple_35w_duo,0.5579,0.31865138394413717,1,0,phone_charger,0,-0.08660433221068742,0.4116240824669151,0
65,charger_anker_prime_100w,0.6614,1.1947195463419056,1,1,phone_charger,0,1.4696118884884626,0.6901173211809474,1
66,charger_anker_nano_67w,0.5521,0.2695577091431035,1,1,phone_charger,0,0.20424007753997386,0.4280465693749113,0
67,charger_samsung_45w,0.7125,1.6272517501923982,1,0,phone_charger,0,1.9200041391741605,0.7792115675454228,1
68,charger_anker_nano_67w,0.768,2.097027431478158,1,1,phone_charger,0,1.8603192108359583,0.8276454151954071,1
69,charger_ugreen_100w,0.6065,0.7300225210700464,0,0,phone_charger,0,0.0020409781051605735,0.42850244863403064,1
70,charger_baseus_65w,0.6821,1.3699331788214597,0,0,phone_charger,0,1.4671383922582701,0.7094104373676584,1
71,charger_belkin_25w,0.6204,0.8476780520587315,1,0,phone_charger,0,1.2282795621647211,0.6161580162314436,1
72,charger_belkin_25w,0.704,1.555304123328813,1,0,phone_charger,0,2.1018696028562647,0.7814894319609393,1
73,charger_ugreen_100w,0.7387,1.8490197294660362,0,0,phone_charger,0,1.8836130038717058,0.8078531405377031,0
74,charger_anker_nano_67w,0.5715,0.43376758692587336,1,1,phone_charger,0,0.3286518814873788,0.4672134810298038,0
75,charger_anker_prime_100w,0.6574,1.1608618395825716,1,1,phone_charger,0,1.7997871145073323,0.7094117477371541,0
76,charger_anker_nano_67w,0.5351,0.12566245541593374,1,1,phone_charger,0,0.5509512459246271,0.4331026830862223,0
77,charger_samsung_45w,0.6559,1.1481651995478217,1,0,phone_charger,0,1.4500499431192748,0.6816213975467807,1
78,charger_belkin_25w,0.6892,1.4300306083192775,1,0,phone_charger,0,1.9233117622469869,0.754763340544645,0
79,charger_anker_nano_67w,0.6452,1.057595833966603,1,1,phone_charger,0,1.4662043296637677,0.6689607851700453,0
80,charger_anker_prime_100w,0.681,1.3606223094626428,1,1,phone_charger,0,0.9626738384552808,0.6768583965766678,1
81,charger_anker_nano_67w,0.5481,0.23570000238376945,1,1,phone_charger,0,0.09495074006820603,0.412951511627967,0
82,charger_belkin_25w,0.6026,0.6970112569796957,1,0,phone_charger,0,1.1792121604642376,0.5867708618643622,1
83,charger_anker_nano_67w,0.571,0.4295353735809561,1,1,phone_charger,0,0.5901962539402491,0.4893124907198794,0
84,charger_samsung_45w,0.6719,1.283596026585158,1,0,phone_charger,0,0.3010837832967781,0.6115652715077239,1
85,charger_ugreen_100w,0.6723,1.286981797261091,0,0,phone_charger,0,0.7559948151369857,0.617484470239156,1
86,charger_apple_35w_duo,0.4563,-0.5413343677429471,1,0,phone_charger,0,-1.0628289613174975,0.2140095177294574,1
87,charger_anker_nano_67w,0.7088,1.595933371440014,1,1,phone_charger,0,2.2786085005200083,0.7965170528373168,1
88,charger_anker_prime_100w,0.5704,0.4244567175670566,1,1,phone_charger,0,1.1448745410260783,0.5368892955319814,0
89,charger_anker_prime_100w,0.6269,0.9026968255426498,1,1,phone_charger,0,0.601160392259647,0.5725576283664212,0
90,charger_anker_nano_67w,0.6288,0.9187792362533336,1,1,phone_charger,0,0.2500506474851544,0.545043349727103,1
91,charger_ugreen_100w,0.6386,1.0017306178137013,0,0,phone_charger,0,1.224268213950808,0.625590418949092,0
92,charger_belkin_25w,0.6726,1.2895211252680407,1,0,phone_charger,0,1.6275125078780044,0.7155093270186611,1
93,charger_baseus_65w,0.5501,0.2526288557634365,0,0,phone_charger,0,0.0948796461447785,0.35991802016400937,0
94,charger_voltix_65w,0.4847,-0.3009446497516751,0,0,phone_charger,0,-0.5732401279485995,0.2146229221047889,0
95,charger_belkin_25w,0.7404,1.8634092548387524,1,0,phone_charger,0,2.37759040536305,0.8301291883015566,1
96,charger_belkin_25w,0.7172,1.6670345556346151,1,0,phone_charger,0,1.1906817028571812,0.7376253866248981,0
97,charger_belkin_25w,0.6246,0.883228644156033,1,0,phone_charger,0,1.5251997165804658,0.6461320221050257,1
98,charger_anker_prime_100w,0.7839,2.231611815846511,1,1,phone_charger,0,2.28380297494306,0.8595381528815611,1
99,charger_samsung_45w,0.5796,0.5023294431135248,1,0,phone_charger,0,0.5584329480581972,0.49927053601750726,1
100,charger_samsung_45w,0.6686,1.2556634185087068,1,0,phone_charger,0,1.825801365754116,0.7247196526883561,0
101,charger_apple_35w_duo,0.6354,0.9746444524062342,1,0,phone_charger,0,1.3453548772602624,0.6463710051113121,1
102,charger_anker_nano_67w,0.7286,1.7635290198987177,1,1,phone_charger,0,2.873639977219734,0.8442562857841964,1
103,charger_samsung_45w,0.6204,0.8476780520587315,1,0,phone_charger,0,0.8154159292325805,0.5814601203461872,1
104,charger_anker_nano_67w,0.7374,1.8380159747692528,1,1,phone_charger,0,1.6519867679904516,0.7883163542846409,0
105,charger_anker_nano_67w,0.6893,1.430877050988261,1,1,phone_charger,0,1.1996002337911835,0.705052317789931,1
106,charger_samsung_45w,0.7171,1.6661881129656317,1,0,phone_charger,0,1.6032465967497096,0.7644922358818886,1
107,charger_anker_nano_67w,0.7313,1.7863829719612676,1,1,phone_charger,0,1.635708634281899,0.7812500728982005,1
108,charger_anker_nano_67w,0.7595,2.0250798046145726,1,1,phone_charger,0,2.032683139376256,0.8290621329923683,1
109,charger_ugreen_100w,0.533,0.10788715936728346,0,0,phone_charger,0,-0.08570941488455522,0.3170561634124602,1
110,charger_samsung_45w,0.6789,1.3428470134139916,1,0,phone_charger,0,1.6143148147743922,0.7221202268124214,1
111,charger_anker_nano_67w,0.6154,0.8053559186095639,1,1,phone_charger,0,2.6213101400750425,0.7173202357823076,1
112,charger_samsung_45w,0.8294,2.6167432302339355,1,0,phone_charger,0,3.0175742306953968,0.9119653285603819,1
113,charger_belkin_25w,0.7197,1.6881956223591994,1,0,phone_charger,0,1.9975798559174005,0.7909877941400595,1
114,charger_samsung_45w,0.6874,1.414794640277577,1,0,phone_charger,0,1.315615882614154,0.7111183549568227,1
115,charger_belkin_25w,0.6577,1.1634011675895213,1,0,phone_charger,0,0.5016699169678884,0.6082507596005988,1
116,charger_samsung_45w,0.6198,0.8425993960448319,1,0,phone_charger,0,1.3994743652463106,0.6293981186253488,1
117,charger_anker_nano_67w,0.6424,1.0338954392350688,1,1,phone_charger,0,1.661434410782063,0.680316970644761,1
118,charger_belkin_25w,0.6318,0.9441725163228342,1,0,phone_charger,0,1.0334441366553553,0.6160051562462995,1
119,charger_samsung_45w,0.6932,1.4638883150786117,1,0,phone_charger,0,2.3291550797624234,0.784134680314464,1
120,charger_samsung_45w,0.6423,1.0330489965660856,1,0,phone_charger,0,1.391365956318062,0.6592856331260346,1
121,charger_anker_nano_67w,0.4841,-0.30602330576557557,1,1,phone_charger,0,-0.7159086073816392,0.26604459478767584,1
